,Country,latitude,longitude,New_cases
139,Norway,60.472024,8.468946,88039
140,Oman,21.512583,55.923255000000005,152364
141,Pakistan,30.375321000000003,69.345116,633741
142,Palau,7.51498,134.58252,0
143,Panama,8.537981,-80.782127,351213
144,Papua New Guinea,-6.314993,143.95555,4109
145,Paraguay,-23.442503,-58.44383199999999,196112
146,Peru,-9.189967,-75.015152,1472790
147,Philippines,12.879721,121.77401699999999,677653
148,Pitcairn Islands,-24.703615,-127.43930800000001,0
149,Poland,51.919438,19.145135999999997,2120671
150,Portugal,39.399871999999995,-8.224454,818212
151,Puerto Rico,18.220833,-66.590149,104743
152,Qatar,25.354826,51.183884,174762
153,Romania,45.943160999999996,24.96676,907007
154,Russia,61.52401,105.31875600000001,4483471
155,Rwanda,-1.940278,29.873888,20975
156,Réunion,-21.115141,55.536384,15561
157,Saint Kitts and Nevis,17.357822,-62.782998,44
158,Saint Lucia,13.909444,-60.97889300000001,4132
159,Saint Pierre and Miquelon,46.941936,-56.27111,24
160,Saint Vincent and the Grenadines,12.984305,-61.287228000000006,1700
161,Samoa,-13.759029,-172.10462900000002,4
162,San Marino,43.94236,12.457777,4433
163,Saudi Arabia,23.885942,45.079162,385834
164,Senegal,14.497401000000002,-14.452361999999999,37956
165,Serbia,44.016521000000004,21.005859,561372
166,Seychelles,-4.679574,55.491977,3828
167,Sierra Leone,8.460555000000001,-11.779889,3949
168,Singapore,1.352083,103.819836,60221
169,Slovakia,48.669026,19.699023999999998,352528
170,Slovenia,46.151241,14.995463,207300
171,Solomon Islands,-9.645710000000001,160.156194,18
172,Somalia,5.152149,46.199616,10369
173,South Africa,-30.559482,22.937506,1538961
174,Spain,40.463667,-3.7492199999999998,3234319
175,Sri Lanka,7.873054,80.77179699999999,90765
176,Sudan,12.862807,30.217636,31282
177,Suriname,3.9193050000000005,-56.02778299999999,9067
178,Sweden,60.128161,18.643501,758335
179,Switzerland,46.818188,8.227511999999999,583381
180,Syria,34.802075,38.996815000000005,17743
181,Tajikistan,38.861034000000004,71.276093,13714
182,Thailand,15.870032,100.992541,28346
183,Timor-Leste,-8.874217,125.727539,351
184,Togo,8.619543,0.824782,9077
185,Tokelau,-8.967363,-171.855881,0
186,Tonga,-21.178986,-175.198242,0
187,Trinidad and Tobago,10.691803,-61.222503,7861
188,Tunisia,33.886917,9.537499,246507
189,Turkey,38.963745,35.243322,3061520
190,Turkmenistan,38.969719,59.556278000000006,0
191,Turks and Caicos Islands,21.694025,-71.797928,2294
192,Tuvalu,-7.109535,177.64933,0
193,Uganda,1.373333,32.290275,40719
